reference_date,location,age_group,report_date,confirm,new_confirm,delay,day_of_week,not_thursday
2021-05-27,DE,00+,2021-09-30,401,0,126,Thu,0
2021-05-28,DE,00+,2021-09-30,282,0,125,Thu,0
2021-05-29,DE,00+,2021-09-30,266,0,124,Thu,0
2021-05-30,DE,00+,2021-09-30,186,0,123,Thu,0
2021-05-31,DE,00+,2021-09-30,109,0,122,Thu,0
2021-06-01,DE,00+,2021-09-30,196,0,121,Thu,0
2021-06-02,DE,00+,2021-09-30,247,0,120,Thu,0
2021-06-03,DE,00+,2021-09-30,208,0,119,Thu,0
2021-06-04,DE,00+,2021-09-30,151,0,118,Thu,0
2021-06-05,DE,00+,2021-09-30,131,0,117,Thu,0
2021-06-06,DE,00+,2021-09-30,128,0,116,Thu,0
2021-06-07,DE,00+,2021-09-30,77,0,115,Thu,0
2021-06-08,DE,00+,2021-09-30,138,0,114,Thu,0
2021-06-09,DE,00+,2021-09-30,182,0,113,Thu,0
2021-06-10,DE,00+,2021-09-30,144,0,112,Thu,0
2021-06-11,DE,00+,2021-09-30,131,0,111,Thu,0
2021-06-12,DE,00+,2021-09-30,108,0,110,Thu,0
2021-06-13,DE,00+,2021-09-30,61,0,109,Thu,0
2021-06-14,DE,00+,2021-09-30,48,0,108,Thu,0
2021-06-15,DE,00+,2021-09-30,99,0,107,Thu,0
2021-06-16,DE,00+,2021-09-30,99,0,106,Thu,0
2021-06-17,DE,00+,2021-09-30,92,0,105,Thu,0
2021-06-18,DE,00+,2021-09-30,79,0,104,Thu,0
2021-06-19,DE,00+,2021-09-30,67,0,103,Thu,0
2021-06-20,DE,00+,2021-09-30,55,0,102,Thu,0
2021-06-21,DE,00+,2021-09-30,27,0,101,Thu,0
2021-06-22,DE,00+,2021-09-30,67,0,100,Thu,0
2021-06-23,DE,00+,2021-09-30,78,0,99,Thu,0
2021-06-24,DE,00+,2021-09-30,62,0,98,Thu,0
2021-06-25,DE,00+,2021-09-30,55,0,97,Thu,0
2021-06-26,DE,00+,2021-09-30,46,0,96,Thu,0
2021-06-27,DE,00+,2021-09-30,34,0,95,Thu,0
2021-06-28,DE,00+,2021-09-30,17,0,94,Thu,0
2021-06-29,DE,00+,2021-09-30,49,0,93,Thu,0
2021-06-30,DE,00+,2021-09-30,62,0,92,Thu,0
2021-07-01,DE,00+,2021-09-30,58,0,91,Thu,0
2021-07-02,DE,00+,2021-09-30,60,0,90,Thu,0
2021-07-03,DE,00+,2021-09-30,43,0,89,Thu,0
2021-07-04,DE,00+,2021-09-30,26,0,88,Thu,0
2021-07-05,DE,00+,2021-09-30,16,0,87,Thu,0
2021-07-06,DE,00+,2021-09-30,57,0,86,Thu,0
2021-07-07,DE,00+,2021-09-30,68,0,85,Thu,0
2021-07-08,DE,00+,2021-09-30,56,0,84,Thu,0
2021-07-09,DE,00+,2021-09-30,47,0,83,Thu,0
2021-07-10,DE,00+,2021-09-30,65,0,82,Thu,0
2021-07-11,DE,00+,2021-09-30,50,0,81,Thu,0
2021-07-12,DE,00+,2021-09-30,17,0,80,Thu,0
2021-07-13,DE,00+,2021-09-30,60,0,79,Thu,0
2021-07-14,DE,00+,2021-09-30,74,0,78,Thu,0
2021-07-15,DE,00+,2021-09-30,69,0,77,Thu,0
2021-07-16,DE,00+,2021-09-30,49,0,76,Thu,0
2021-07-17,DE,00+,2021-09-30,67,0,75,Thu,0
2021-07-18,DE,00+,2021-09-30,51,0,74,Thu,0
2021-07-19,DE,00+,2021-09-30,36,0,73,Thu,0
2021-07-20,DE,00+,2021-09-30,96,0,72,Thu,0
2021-07-21,DE,00+,2021-09-30,94,0,71,Thu,0
2021-07-22,DE,00+,2021-09-30,99,0,70,Thu,0
2021-07-23,DE,00+,2021-09-30,88,0,69,Thu,0
2021-07-24,DE,00+,2021-09-30,95,0,68,Thu,0
2021-07-25,DE,00+,2021-09-30,75,0,67,Thu,0
2021-07-26,DE,00+,2021-09-30,29,0,66,Thu,0
2021-07-27,DE,00+,2021-09-30,81,0,65,Thu,0
2021-07-28,DE,00+,2021-09-30,159,0,64,Thu,0
2021-07-29,DE,00+,2021-09-30,143,0,63,Thu,0
2021-07-30,DE,00+,2021-09-30,117,0,62,Thu,0
2021-07-31,DE,00+,2021-09-30,132,0,61,Thu,0
2021-08-01,DE,00+,2021-09-30,80,0,60,Thu,0
2021-08-02,DE,00+,2021-09-30,59,0,59,Thu,0
2021-08-03,DE,00+,2021-09-30,156,0,58,Thu,0
2021-08-04,DE,00+,2021-09-30,183,0,57,Thu,0
2021-08-05,DE,00+,2021-09-30,147,0,56,Thu,0
2021-08-06,DE,00+,2021-09-30,155,0,55,Thu,0
2021-08-07,DE,00+,2021-09-30,159,1,54,Thu,0
2021-08-08,DE,00+,2021-09-30,119,0,53,Thu,0
2021-08-09,DE,00+,2021-09-30,65,0,52,Thu,0
2021-08-10,DE,00+,2021-09-30,204,0,51,Thu,0
2021-08-11,DE,00+,2021-09-30,274,0,50,Thu,0
2021-08-12,DE,00+,2021-09-30,273,0,49,Thu,0
2021-08-13,DE,00+,2021-09-30,270,0,48,Thu,0
2021-08-14,DE,00+,2021-09-30,262,0,47,Thu,0
2021-08-15,DE,00+,2021-09-30,190,0,46,Thu,0
2021-08-16,DE,00+,2021-09-30,140,0,45,Thu,0
2021-08-17,DE,00+,2021-09-30,323,0,44,Thu,0
2021-08-18,DE,00+,2021-09-30,408,4,43,Thu,0
2021-08-19,DE,00+,2021-09-30,369,2,42,Thu,0
2021-08-20,DE,00+,2021-09-30,358,0,41,Thu,0
2021-08-21,DE,00+,2021-09-30,337,7,40,Thu,0
2021-08-22,DE,00+,2021-09-30,249,5,39,Thu,0
2021-08-23,DE,00+,2021-09-30,193,1,38,Thu,0
2021-08-24,DE,00+,2021-09-30,449,1,37,Thu,0
2021-08-25,DE,00+,2021-09-30,560,1,36,Thu,0
2021-08-26,DE,00+,2021-09-30,522,0,35,Thu,0
2021-08-27,DE,00+,2021-09-30,455,0,34,Thu,0
2021-08-28,DE,00+,2021-09-30,440,2,33,Thu,0
2021-08-29,DE,00+,2021-09-30,346,5,32,Thu,0
2021-08-30,DE,00+,2021-09-30,214,2,31,Thu,0
2021-08-31,DE,00+,2021-09-30,423,2,30,Thu,0
2021-09-01,DE,00+,2021-09-30,568,5,29,Thu,0
2021-09-02,DE,00+,2021-09-30,506,1,28,Thu,0
2021-09-03,DE,00+,2021-09-30,471,2,27,Thu,0
2021-09-04,DE,00+,2021-09-30,466,1,26,Thu,0
2021-09-05,DE,00+,2021-09-30,343,1,25,Thu,0
2021-09-06,DE,00+,2021-09-30,205,2,24,Thu,0
2021-09-07,DE,00+,2021-09-30,427,1,23,Thu,0
2021-09-08,DE,00+,2021-09-30,579,3,22,Thu,0
2021-09-09,DE,00+,2021-09-30,506,3,21,Thu,0
2021-09-10,DE,00+,2021-09-30,476,3,20,Thu,0
2021-09-11,DE,00+,2021-09-30,445,3,19,Thu,0
2021-09-12,DE,00+,2021-09-30,305,7,18,Thu,0
2021-09-13,DE,00+,2021-09-30,192,2,17,Thu,0
2021-09-14,DE,00+,2021-09-30,404,5,16,Thu,0
2021-09-15,DE,00+,2021-09-30,475,11,15,Thu,0
2021-09-16,DE,00+,2021-09-30,432,6,14,Thu,0
2021-09-17,DE,00+,2021-09-30,364,6,13,Thu,0
2021-09-18,DE,00+,2021-09-30,334,13,12,Thu,0
2021-09-19,DE,00+,2021-09-30,238,10,11,Thu,0
2021-09-20,DE,00+,2021-09-30,129,5,10,Thu,0
2021-09-21,DE,00+,2021-09-30,306,14,9,Thu,0
2021-09-22,DE,00+,2021-09-30,354,24,8,Thu,0
2021-09-23,DE,00+,2021-09-30,297,25,7,Thu,0
2021-09-24,DE,00+,2021-09-30,293,25,6,Thu,0
2021-09-25,DE,00+,2021-09-30,226,21,5,Thu,0
2021-09-26,DE,00+,2021-09-30,158,15,4,Thu,0
2021-09-27,DE,00+,2021-09-30,104,6,3,Thu,0
2021-09-28,DE,00+,2021-09-30,236,36,2,Thu,0
2021-09-29,DE,00+,2021-09-30,244,100,1,Thu,0
2021-09-30,DE,00+,2021-09-30,110,110,0,Thu,0
